,gene,product
3939,PPP2R5D,Protein phosphatase 2 regulatory subunit B'delta
3940,PPP3CA,Protein phosphatase 3 catalytic subunit alpha
3941,PPT1,Palmitoyl-protein thioesterase 1
3942,PQBP1,Polyglutamine binding protein 1
3943,PRCC,Proline rich mitotic checkpoint control factor
3944,PRCD,Photoreceptor disc component
3945,PRDM1,PR/SET domain 1
3946,PRDM12,PR/SET domain 12
3947,PRDM13,PR/SET domain 13
3948,PRDM16,PR/SET domain 16
3949,PRDM5,PR/SET domain 5
3950,PRDM6,PR/SET domain 6
3951,PRDM8,PR/SET domain 8
3952,PRDX3,Peroxiredoxin 3
3953,PREPL,Prolyl endopeptidase like
3954,PRF1,Perforin 1
3955,PRG4,Proteoglycan 4
3956,PRICKLE1,Prickle planar cell polarity protein 1
3957,PRICKLE2,Prickle planar cell polarity protein 2
3958,PRICKLE3,Prickle planar cell polarity protein 3
3959,PRIM1,DNA primase subunit 1
3960,PRIMPOL,Primase and DNA directed polymerase
3961,PRKACA,Protein kinase cAMP-activated catalytic subunit alpha
3962,PRKACB,Protein kinase cAMP-activated catalytic subunit beta
3963,PRKACG,Protein kinase cAMP-activated catalytic subunit gamma
3964,PRKAR1A,Protein kinase cAMP-dependent type I regulatory subunit alpha
3965,PRKAR1B,Protein kinase cAMP-dependent type I regulatory subunit beta
3966,PRKCH,Protein kinase C eta
3967,PRKCSH,Protein kinase C substrate 80K-H
3968,PRKD1,Protein kinase D1
3969,PRKDC,"Protein kinase, DNA-activated, catalytic subunit"
3970,PRKG1,Protein kinase cGMP-dependent 1
3971,PRKG2,Protein kinase cGMP-dependent 2
3972,PRKN,Parkin RBR E3 ubiquitin protein ligase
3973,PRKRA,Protein activator of interferon induced protein kinase EIF2AK2
3974,PRKX,Protein kinase cAMP-dependent X-linked catalytic subunit
3975,PRMT7,Protein arginine methyltransferase 7
3976,PRNP,Prion protein
3977,PRODH,Proline dehydrogenase 1
3978,PROK2,Prokineticin 2
3979,PROKR2,Prokineticin receptor 2
3980,PROM1,Prominin 1
3981,PROP1,PROP paired-like homeobox 1
3982,PRORP,Protein only RNase P catalytic subunit
3983,PRPF3,Pre-mRNA processing factor 3
3984,PRPF31,Pre-mRNA processing factor 31
3985,PRPF4,Pre-mRNA processing factor 4
3986,PRPF6,Pre-mRNA processing factor 6
3987,PRPF8,Pre-mRNA processing factor 8
3988,PRPH,Peripherin
3989,PRPH2,Peripherin 2
3990,PRPS1,Phosphoribosyl pyrophosphate synthetase 1
3991,PRR12,Proline rich 12
3992,PRRT2,Proline rich transmembrane protein 2
3993,PRRX1,Paired related homeobox 1
3994,PRSS1,Serine protease 1
3995,PRSS12,Serine protease 12
3996,PRSS37,Serine protease 37
3997,PRSS56,Serine protease 56
3998,PRTN3,Proteinase 3
3999,PRUNE1,Prune exopolyphosphatase 1
4000,PRX,Periaxin
4001,PSAP,Prosaposin
4002,PSAT1,Phosphoserine aminotransferase 1
4003,PSEN1,Presenilin 1
4004,PSEN2,Presenilin 2
4005,PSENEN,"Presenilin enhancer, gamma-secretase subunit"
4006,PSIP1,PC4 and SFRS1 interacting protein 1
4007,PSMB4,Proteasome 20S subunit beta 4
4008,PSMC3,"Proteasome 26S subunit, ATPase 3"
4009,PSMC3IP,PSMC3 interacting protein
4010,PSMD12,"Proteasome 26S subunit, non-ATPase 12"
4011,PSMG2,Proteasome assembly chaperone 2
4012,PSPH,Phosphoserine phosphatase
4013,PSTPIP1,Proline-serine-threonine phosphatase interacting protein 1
4014,PTCD3,Pentatricopeptide repeat domain 3
4015,PTCH1,Patched 1
4016,PTCH2,Patched 2
4017,PTCHD1,Patched domain containing 1
4018,PTDSS1,Phosphatidylserine synthase 1
4019,PTEN,Phosphatase and tensin homolog
4020,PTF1A,Pancreas associated transcription factor 1a
4021,PTH,Parathyroid hormone
4022,PTHLH,Parathyroid hormone like hormone
4023,PTK2,Protein tyrosine kinase 2
4024,PTK2B,Protein tyrosine kinase 2 beta
4025,PTPN11,Protein tyrosine phosphatase non-receptor type 11
4026,PTPN14,Protein tyrosine phosphatase non-receptor type 14
4027,PTPN22,Protein tyrosine phosphatase non-receptor type 22
4028,PTPN23,Protein tyrosine phosphatase non-receptor type 23
4029,PTPRC,Protein tyrosine phosphatase receptor type C
4030,PTPRF,Protein tyrosine phosphatase receptor type F
4031,PTPRN,Protein tyrosine phosphatase receptor type N
4032,PTPRN2,Protein tyrosine phosphatase receptor type N2
4033,PTPRO,Protein tyrosine phosphatase receptor type O
4034,PTRH2,Peptidyl-tRNA hydrolase 2
4035,PTS,6-pyruvoyltetrahydropterin synthase
4036,PUF60,Poly(U) binding splicing factor 60
4037,PUM1,Pumilio RNA binding family member 1
4038,PURA,Purine rich element binding protein A
4039,PUS1,Pseudouridine synthase 1
4040,PUS3,Pseudouridine synthase 3
4041,PUS7,Pseudouridine synthase 7
4042,PXDN,Peroxidasin
4043,PYCR1,Pyrroline-5-carboxylate reductase 1
4044,PYCR2,Pyrroline-5-carboxylate reductase 2
4045,PYGL,Glycogen phosphorylase L
4046,PYGM,"Glycogen phosphorylase, muscle associated"
4047,PYROXD1,Pyridine nucleotide-disulphide oxidoreductase domain 1
4048,PYURF,PIGY upstream open reading frame
4049,QARS1,Glutaminyl-tRNA synthetase 1
4050,QDPR,Quinoid dihydropteridine reductase
4051,QRICH1,Glutamine rich 1
4052,QRICH2,Glutamine rich 2
4053,QRSL1,Glutaminyl-tRNA amidotransferase subunit QRSL1
4054,RAB11B,"RAB11B, member RAS oncogene family"
4055,RAB18,"RAB18, member RAS oncogene family"
4056,RAB23,"RAB23, member RAS oncogene family"
4057,RAB27A,"RAB27A, member RAS oncogene family"
4058,RAB28,"RAB28, member RAS oncogene family"
4059,RAB33B,"RAB33B, member RAS oncogene family"
4060,RAB39B,"RAB39B, member RAS oncogene family"
4061,RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1
4062,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2
4063,RAB5IF,RAB5 interacting factor
4064,RAB7A,"RAB7A, member RAS oncogene family"
4065,RABGAP1L,RAB GTPase activating protein 1 like
4066,RABL3,"RAB, member of RAS oncogene family like 3"
4067,RAC1,Rac family small GTPase 1
4068,RAC2,Rac family small GTPase 2
4069,RAC3,Rac family small GTPase 3
4070,RACGAP1,Rac GTPase activating protein 1
4071,RAD21,RAD21 cohesin complex component
4072,RAD50,RAD50 double strand break repair protein
4073,RAD51,RAD51 recombinase
4074,RAD51B,RAD51 paralog B
4075,RAD51C,RAD51 paralog C
4076,RAD51D,RAD51 paralog D
4077,RAG1,Recombination activating 1
4078,RAG2,Recombination activating 2
4079,RAI1,Retinoic acid induced 1
4080,RALA,RAS like proto-oncogene A
4081,RALGAPA1,Ral GTPase activating protein catalytic subunit alpha 1
4082,RALGPS2,Ral GEF with PH domain and SH3 binding motif 2
4083,RANBP2,RAN binding protein 2
4084,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1
4085,RAPGEF2,Rap guanine nucleotide exchange factor 2
4086,RAPSN,Receptor associated protein of the synapse
4087,RARS1,Arginyl-tRNA synthetase 1
4088,RARS2,"Arginyl-tRNA synthetase 2, mitochondrial"
4089,RASA1,RAS p21 protein activator 1
4090,RASGRP1,RAS guanyl releasing protein 1
4091,RASGRP2,RAS guanyl releasing protein 2
4092,RASSF8,Ras association domain family member 8
4093,RAX,Retina and anterior neural fold homeobox
4094,RAX2,Retina and anterior neural fold homeobox 2
4095,RB1,RB transcriptional corepressor 1
4096,RBBP8,"RB binding protein 8, endonuclease"
4097,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1
4098,RBL2,RB transcriptional corepressor like 2
4099,RBM10,RNA binding motif protein 10
4100,RBM12,RNA binding motif protein 12
4101,RBM15,RNA binding motif protein 15
4102,RBM20,RNA binding motif protein 20
4103,RBM28,RNA binding motif protein 28
4104,RBM8A,RNA binding motif protein 8A
4105,RBMX,RNA binding motif protein X-linked
4106,RBP3,Retinol binding protein 3
4107,RBP4,Retinol binding protein 4
4108,RBPJ,Recombination signal binding protein for immunoglobulin kappa J region
4109,RC3H1,Ring finger and CCCH-type domains 1
4110,RCBTB1,RCC1 and BTB domain containing protein 1
4111,RCC1L,RCC1 like
4112,RD3,RD3 regulator of GUCY2D
4113,RDH11,Retinol dehydrogenase 11
4114,RDH12,Retinol dehydrogenase 12
4115,RDH5,Retinol dehydrogenase 5
4116,RDX,Radixin
4117,REC114,REC114 meiotic recombination protein
4118,RECQL4,RecQ like helicase 4
4119,REEP1,Receptor accessory protein 1
4120,REEP2,Receptor accessory protein 2
4121,REEP6,Receptor accessory protein 6
4122,REL,"REL proto-oncogene, NF-kB subunit"
4123,RELA,"RELA proto-oncogene, NF-kB subunit"
4124,RELB,"RELB proto-oncogene, NF-kB subunit"
4125,RELN,Reelin
4126,RELT,RELT TNF receptor
4127,REPS1,RALBP1 associated Eps domain containing 1
4128,RERE,Arginine-glutamic acid dipeptide repeats
4129,REST,RE1 silencing transcription factor
4130,RETREG1,Reticulophagy regulator 1
4131,RFC1,Replication factor C subunit 1
4132,RFC2,Replication factor C subunit 2
4133,RFT1,RFT1 homolog
4134,RFWD3,Ring finger and WD repeat domain 3
4135,RFX5,Regulatory factor X5
4136,RFX6,Regulatory factor X6
4137,RFXANK,Regulatory factor X associated ankyrin containing protein
4138,RFXAP,Regulatory factor X associated protein
4139,RGR,Retinal G protein coupled receptor
4140,RGS4,Regulator of G protein signaling 4
4141,RGS9,Regulator of G protein signaling 9
4142,RGS9BP,Regulator of G protein signaling 9 binding protein
4143,RHAG,Rh associated glycoprotein
4144,RHBDF2,Rhomboid 5 homolog 2
4145,RHCE,Rh blood group CcEe antigens
4146,RHD,Rh blood group D antigen
4147,RHO,Rhodopsin
4148,RHOA,Ras homolog family member A
4149,RHOBTB2,Rho related BTB domain containing 2
4150,RHOH,Ras homolog family member H
4151,RIC1,"RIC1 homolog, RAB6A GEF complex partner 1"
4152,RIGI,RNA sensor RIG-I
4153,RILPL1,Rab interacting lysosomal protein like 1
4154,RIMS1,Regulating synaptic membrane exocytosis 1
4155,RIMS2,Regulating synaptic membrane exocytosis 2
4156,RIN2,Ras and Rab interactor 2
4157,RINT1,RAD50 interactor 1
4158,RIPK1,Receptor interacting serine/threonine kinase 1
4159,RIPK4,Receptor interacting serine/threonine kinase 4
4160,RIPOR2,RHO family interacting cell polarization regulator 2
4161,RIPPLY2,Ripply transcriptional repressor 2
4162,RIT1,Ras like without CAAX 1
4163,RLBP1,Retinaldehyde binding protein 1
4164,RLIM,"Ring finger protein, LIM domain interacting"
4165,RMI2,RecQ mediated genome instability 2
4166,RMND1,Required for meiotic nuclear division 1 homolog
4167,RNASEH1,Ribonuclease H1
4168,RNASEH2A,Ribonuclease H2 subunit A
4169,RNASEH2B,Ribonuclease H2 subunit B
4170,RNASEH2C,Ribonuclease H2 subunit C
4171,RNASET2,Ribonuclease T2
4172,RNF113A,Ring finger protein 113A
4173,RNF125,Ring finger protein 125
4174,RNF13,Ring finger protein 13
4175,RNF139,Ring finger protein 139
4176,RNF146,Ring finger protein 146
4177,RNF168,Ring finger protein 168
4178,RNF170,Ring finger protein 170
4179,RNF2,Ring finger protein 2
4180,RNF212,Ring finger protein 212
4181,RNF213,Ring finger protein 213
4182,RNF216,Ring finger protein 216
4183,RNF220,Ring finger protein 220
4184,RNF43,Ring finger protein 43
4185,RNF6,Ring finger protein 6
4186,RNPC3,"RNA binding region (RNP1, RRM) containing 3"
4187,ROBO2,Roundabout guidance receptor 2
4188,ROBO3,Roundabout guidance receptor 3
4189,ROBO4,Roundabout guidance receptor 4
4190,ROGDI,Rogdi atypical leucine zipper
4191,ROM1,Retinal outer segment membrane protein 1
4192,ROR1,Receptor tyrosine kinase like orphan receptor 1
4193,ROR2,Receptor tyrosine kinase like orphan receptor 2
4194,RORA,RAR related orphan receptor A
4195,RORB,RAR related orphan receptor B
4196,RORC,RAR related orphan receptor C
4197,RP1,RP1 axonemal microtubule associated
4198,RP1L1,RP1 like 1
4199,RP2,RP2 activator of ARL3 GTPase
4200,RP9,RP9 pre-mRNA splicing factor
4201,RPA1,Replication protein A1
4202,RPGR,Retinitis pigmentosa GTPase regulator
4203,RPGRIP1,RPGR interacting protein 1
4204,RPGRIP1L,RPGRIP1 like
4205,RPIA,Ribose 5-phosphate isomerase A
4206,RPL10,Ribosomal protein L10
4207,RPL10L,Ribosomal protein L10 like
4208,RPL11,Ribosomal protein L11
4209,RPL13,Ribosomal protein L13
4210,RPL15,Ribosomal protein L15
4211,RPL18,Ribosomal protein L18
4212,RPL21,Ribosomal protein L21
4213,RPL26,Ribosomal protein L26
4214,RPL27,Ribosomal protein L27
4215,RPL35,Ribosomal protein L35
4216,RPL35A,Ribosomal protein L35a
4217,RPL3L,Ribosomal protein L3 like
4218,RPL5,Ribosomal protein L5
4219,RPL7A,Ribosomal protein L7a
4220,RPS10,Ribosomal protein S10
4221,RPS15A,Ribosomal protein S15a
4222,RPS17,Ribosomal protein S17
4223,RPS19,Ribosomal protein S19
4224,RPS23,Ribosomal protein S23
4225,RPS24,Ribosomal protein S24
4226,RPS26,Ribosomal protein S26
4227,RPS27,Ribosomal protein S27
4228,RPS28,Ribosomal protein S28
4229,RPS29,Ribosomal protein S29
4230,RPS6KA3,Ribosomal protein S6 kinase A3
4231,RPS7,Ribosomal protein S7
4232,RPSA,Ribosomal protein SA
4233,RRAGC,Ras related GTP binding C
4234,RRAS2,RAS related 2
4235,RRP7A,Ribosomal RNA processing 7 homolog A
4236,RS1,Retinoschisin 1
4237,RSPH1,Radial spoke head component 1
4238,RSPH4A,Radial spoke head component 4A
4239,RSPH9,Radial spoke head component 9
4240,RSPO1,R-spondin 1
4241,RSPO2,R-spondin 2
4242,RSPO4,R-spondin 4
4243,RSPRY1,Ring finger and SPRY domain containing 1
4244,RSRC1,Arginine and serine rich coiled-coil 1
4245,RTEL1,Regulator of telomere elongation helicase 1
4246,RTN2,Reticulon 2
4247,RTN4IP1,Reticulon 4 interacting protein 1
4248,RTN4R,Reticulon 4 receptor
4249,RTTN,Rotatin
4250,RUBCN,Rubicon autophagy regulator
4251,RUNX1,RUNX family transcription factor 1
4252,RUNX1T1,RUNX1 partner transcriptional co-repressor 1
4253,RUNX2,RUNX family transcription factor 2
4254,RUSC2,RUN and SH3 domain containing 2
4255,RXFP2,Relaxin family peptide receptor 2
4256,RXYLT1,Ribitol xylosyltransferase 1
4257,S1PR2,Sphingosine-1-phosphate receptor 2
4258,SAA1,Serum amyloid A1
4259,SAA2,Serum amyloid A2
4260,SACS,Sacsin molecular chaperone
4261,SAG,S-antigen visual arrestin
4262,SALL1,Spalt like transcription factor 1
4263,SALL2,Spalt like transcription factor 2
4264,SALL4,Spalt like transcription factor 4
4265,SAMD12,Sterile alpha motif domain containing 12
4266,SAMD9,Sterile alpha motif domain containing 9
4267,SAMD9L,Sterile alpha motif domain containing 9 like
4268,SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
4269,SAR1B,Secretion associated Ras related GTPase 1B
4270,SARDH,Sarcosine dehydrogenase
4271,SARS1,Seryl-tRNA synthetase 1
4272,SARS2,"Seryl-tRNA synthetase 2, mitochondrial"
4273,SASH1,SAM and SH3 domain containing 1
4274,SASH3,SAM and SH3 domain containing 3
4275,SASS6,SAS-6 centriolar assembly protein
4276,SAT1,Spermidine/spermine N1-acetyltransferase 1
4277,SATB1,SATB homeobox 1
4278,SATB2,SATB homeobox 2
4279,SBDS,SBDS ribosome maturation factor
4280,SBF1,SET binding factor 1
4281,SBF2,SET binding factor 2
4282,SC5D,Sterol-C5-desaturase
4283,SCAPER,S-phase cyclin A associated protein in the ER
4284,SCARB2,Scavenger receptor class B member 2
4285,SCARF2,Scavenger receptor class F member 2
4286,SCD5,Stearoyl-CoA desaturase 5
4287,SCO1,Synthesis of cytochrome C oxidase 1
4288,SCO2,Synthesis of cytochrome C oxidase 2
4289,SCP2,Sterol carrier protein 2
4290,SCRIB,Scribble planar cell polarity protein
4291,SCUBE3,"Signal peptide, CUB domain and EGF like domain containing 3"
4292,SCYL1,SCY1 like pseudokinase 1
4293,SCYL2,SCY1 like pseudokinase 2
4294,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8
4295,SDHAF1,Succinate dehydrogenase complex assembly factor 1
4296,SDHAF2,Succinate dehydrogenase complex assembly factor 2
4297,SDHB,Succinate dehydrogenase complex iron sulfur subunit B
4298,SDHC,Succinate dehydrogenase complex subunit C
4299,SDR9C7,Short chain dehydrogenase/reductase family 9C member 7
4300,SEC23A,"SEC23 homolog A, COPII coat complex component"
4301,SEC23B,"SEC23 homolog B, COPII coat complex component"
4302,SEC24D,"SEC24 homolog D, COPII coat complex component"
4303,SEC31A,"SEC31 homolog A, COPII coat complex component"
4304,SEC61A1,SEC61 translocon subunit alpha 1
4305,SEC61B,SEC61 translocon subunit beta
4306,SEC63,"SEC63 homolog, protein translocation regulator"
4307,SECISBP2,SECIS binding protein 2
4308,SELENBP1,Selenium binding protein 1
4309,SELENOI,Selenoprotein I
4310,SELENON,Selenoprotein N
4311,SELENOT,Selenoprotein T
4312,SEMA3A,Semaphorin 3A
4313,SEMA4A,Semaphorin 4A
4314,SEMA6B,Semaphorin 6B
4315,SEMA7A,Semaphorin 7A (John Milton Hagen blood group)
4316,SEPSECS,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
4317,SEPTIN11,Septin 11
4318,SEPTIN12,Septin 12
4319,SEPTIN9,Septin 9
4320,SERAC1,Serine active site containing 1
4321,SERPINA1,Serpin family A member 1
4322,SERPINA6,Serpin family A member 6
4323,SERPINB6,Serpin family B member 6
4324,SERPINB7,Serpin family B member 7
4325,SERPINB8,Serpin family B member 8
4326,SERPINF1,Serpin family F member 1
4327,SERPINF2,Serpin family F member 2
4328,SERPING1,Serpin family G member 1
4329,SERPINH1,Serpin family H member 1
4330,SERPINI1,Serpin family I member 1
4331,SET,SET nuclear proto-oncogene
4332,SETBP1,SET binding protein 1
4333,SETD1A,"SET domain containing 1A, histone lysine methyltransferase"
4334,SETD1B,"SET domain containing 1B, histone lysine methyltransferase"
4335,SETD2,"SET domain containing 2, histone lysine methyltransferase"
4336,SETD5,SET domain containing 5
4337,SETX,Senataxin
4338,SF3B2,Splicing factor 3b subunit 2
4339,SF3B4,Splicing factor 3b subunit 4
4340,SFPQ,Splicing factor proline and glutamine rich
4341,SFRP4,Secreted frizzled related protein 4
4342,SFTPA1,Surfactant protein A1
4343,SFTPA2,Surfactant protein A2
4344,SFTPB,Surfactant protein B
4345,SFTPC,Surfactant protein C
4346,SFXN4,Sideroflexin 4
4347,SGCA,Sarcoglycan alpha
4348,SGCB,Sarcoglycan beta
4349,SGCD,Sarcoglycan delta
4350,SGCE,Sarcoglycan epsilon
4351,SGCG,Sarcoglycan gamma
4352,SGMS2,Sphingomyelin synthase 2
4353,SGO1,Shugoshin 1
4354,SGPL1,Sphingosine-1-phosphate lyase 1
4355,SGSH,N-sulfoglucosamine sulfohydrolase
4356,SH2B3,SH2B adaptor protein 3
4357,SH2D1A,SH2 domain containing 1A
4358,SH3BGRL,SH3 domain binding glutamate rich protein like
4359,SH3BP2,SH3 domain binding protein 2
4360,SH3GL1,"SH3 domain containing GRB2 like 1, endophilin A2"
4361,SH3KBP1,SH3 domain containing kinase binding protein 1
4362,SH3PXD2B,SH3 and PX domains 2B
4363,SH3TC2,SH3 domain and tetratricopeptide repeats 2
4364,SHANK2,SH3 and multiple ankyrin repeat domains 2
4365,SHH,Sonic hedgehog signaling molecule
4366,SHMT2,Serine hydroxymethyltransferase 2
4367,SHOC1,Shortage in chiasmata 1
4368,SHOC2,SHOC2 leucine rich repeat scaffold protein
4369,SHOX,Short stature homeobox
4370,SHPK,Sedoheptulokinase
4371,SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor"
4372,SHROOM4,Shroom family member 4
4373,SIAE,Sialic acid acetylesterase
4374,SIAH1,Siah E3 ubiquitin protein ligase 1
4375,SIK1,Salt inducible kinase 1
4376,SIK3,SIK family kinase 3
4377,SIL1,SIL1 nucleotide exchange factor
4378,SIN3A,SIN3 transcription regulator family member A
4379,SIPA1L3,Signal induced proliferation associated 1 like 3
4380,SIX1,SIX homeobox 1
4381,SIX3,SIX homeobox 3
4382,SIX5,SIX homeobox 5
4383,SIX6,SIX homeobox 6
4384,SKI,SKI proto-oncogene
4385,SKIC2,SKI2 subunit of superkiller complex
4386,SKIC3,SKI3 subunit of superkiller complex
4387,SLC10A7,Solute carrier family 10 member 7
4388,SLC11A2,Solute carrier family 11 member 2
4389,SLC12A6,Solute carrier family 12 member 6
4390,SLC12A8,Solute carrier family 12 member 8
4391,SLC13A3,Solute carrier family 13 member 3
4392,SLC13A5,Solute carrier family 13 member 5
4393,SLC16A1,Solute carrier family 16 member 1
4394,SLC16A12,Solute carrier family 16 member 12
4395,SLC16A13,Solute carrier family 16 member 13
4396,SLC16A2,Solute carrier family 16 member 2
4397,SLC17A5,Solute carrier family 17 member 5
4398,SLC17A8,Solute carrier family 17 member 8
4399,SLC17A9,Solute carrier family 17 member 9
4400,SLC18A3,Solute carrier family 18 member A3
4401,SLC19A1,Solute carrier family 19 member 1
4402,SLC19A2,Solute carrier family 19 member 2
4403,SLC19A3,Solute carrier family 19 member 3
4404,SLC1A1,Solute carrier family 1 member 1
4405,SLC1A2,Solute carrier family 1 member 2
4406,SLC1A3,Solute carrier family 1 member 3
4407,SLC1A4,Solute carrier family 1 member 4
4408,SLC20A2,Solute carrier family 20 member 2
4409,SLC22A18,Solute carrier family 22 member 18
4410,SLC22A4,Solute carrier family 22 member 4
4411,SLC22A5,Solute carrier family 22 member 5
4412,SLC24A1,Solute carrier family 24 member 1
4413,SLC24A4,Solute carrier family 24 member 4
4414,SLC24A5,Solute carrier family 24 member 5
4415,SLC25A1,Solute carrier family 25 member 1
4416,SLC25A10,Solute carrier family 25 member 10
4417,SLC25A11,Solute carrier family 25 member 11
4418,SLC25A12,Solute carrier family 25 member 12
4419,SLC25A13,Solute carrier family 25 member 13
4420,SLC25A15,Solute carrier family 25 member 15
4421,SLC25A19,Solute carrier family 25 member 19
4422,SLC25A20,Solute carrier family 25 member 20
4423,SLC25A21,Solute carrier family 25 member 21
4424,SLC25A22,Solute carrier family 25 member 22
4425,SLC25A24,Solute carrier family 25 member 24
4426,SLC25A26,Solute carrier family 25 member 26
4427,SLC25A3,Solute carrier family 25 member 3
4428,SLC25A32,Solute carrier family 25 member 32
4429,SLC25A38,Solute carrier family 25 member 38
4430,SLC25A42,Solute carrier family 25 member 42
4431,SLC25A46,Solute carrier family 25 member 46
4432,SLC26A1,Solute carrier family 26 member 1
4433,SLC26A2,Solute carrier family 26 member 2
4434,SLC26A3,Solute carrier family 26 member 3
4435,SLC26A4,Solute carrier family 26 member 4
4436,SLC26A5,Solute carrier family 26 member 5
4437,SLC26A8,Solute carrier family 26 member 8
4438,SLC27A4,Solute carrier family 27 member 4
4439,SLC28A1,Solute carrier family 28 member 1
4440,SLC29A3,Solute carrier family 29 member 3
4441,SLC2A1,Solute carrier family 2 member 1
4442,SLC2A10,Solute carrier family 2 member 10
4443,SLC2A2,Solute carrier family 2 member 2
4444,SLC2A4,Solute carrier family 2 member 4
4445,SLC2A9,Solute carrier family 2 member 9
4446,SLC30A10,Solute carrier family 30 member 10
4447,SLC30A2,Solute carrier family 30 member 2
4448,SLC30A9,Solute carrier family 30 member 9
4449,SLC33A1,Solute carrier family 33 member 1
4450,SLC34A1,Solute carrier family 34 member 1
4451,SLC34A2,Solute carrier family 34 member 2
4452,SLC34A3,Solute carrier family 34 member 3
4453,SLC35A1,Solute carrier family 35 member A1
4454,SLC35A2,Solute carrier family 35 member A2
4455,SLC35A3,Solute carrier family 35 member A3
4456,SLC35C1,Solute carrier family 35 member C1
4457,SLC35D1,Solute carrier family 35 member D1
4458,SLC36A2,Solute carrier family 36 member 2
4459,SLC38A8,Solute carrier family 38 member 8
4460,SLC39A13,Solute carrier family 39 member 13
4461,SLC39A14,Solute carrier family 39 member 14
4462,SLC39A4,Solute carrier family 39 member 4
4463,SLC39A5,Solute carrier family 39 member 5
4464,SLC39A7,Solute carrier family 39 member 7
4465,SLC39A8,Solute carrier family 39 member 8
4466,SLC3A1,Solute carrier family 3 member 1
4467,SLC40A1,Solute carrier family 40 member 1
4468,SLC41A1,Solute carrier family 41 member 1
4469,SLC44A1,Solute carrier family 44 member 1
4470,SLC44A4,Solute carrier family 44 member 4
4471,SLC45A1,Solute carrier family 45 member 1
4472,SLC45A2,Solute carrier family 45 member 2
4473,SLC46A1,Solute carrier family 46 member 1
4474,SLC49A4,Solute carrier family 49 member 4
4475,SLC4A1,Solute carrier family 4 member 1 (Diego blood group)
4476,SLC4A11,Solute carrier family 4 member 11
4477,SLC4A4,Solute carrier family 4 member 4
4478,SLC51A,Solute carrier family 51 subunit alpha
4479,SLC51B,Solute carrier family 51 subunit beta
4480,SLC52A1,Solute carrier family 52 member 1
4481,SLC52A3,Solute carrier family 52 member 3
4482,SLC5A6,Solute carrier family 5 member 6
4483,SLC5A7,Solute carrier family 5 member 7
4484,SLC6A14,Solute carrier family 6 member 14
4485,SLC6A17,Solute carrier family 6 member 17
4486,SLC6A18,Solute carrier family 6 member 18
4487,SLC6A19,Solute carrier family 6 member 19
4488,SLC6A20,Solute carrier family 6 member 20
4489,SLC6A5,Solute carrier family 6 member 5
4490,SLC6A6,Solute carrier family 6 member 6
4491,SLC6A9,Solute carrier family 6 member 9
4492,SLC7A14,Solute carrier family 7 member 14
4493,SLC7A6OS,Solute carrier family 7 member 6 opposite strand
4494,SLC7A9,Solute carrier family 7 member 9
4495,SLC9A1,Solute carrier family 9 member A1
4496,SLC9A3R1,SLC9A3 regulator 1
4497,SLC9A6,Solute carrier family 9 member A6
4498,SLC9A7,Solute carrier family 9 member A7
4499,SLC9A9,Solute carrier family 9 member A9
4500,SLCO1B1,Solute carrier organic anion transporter family member 1B1
4501,SLCO1B3,Solute carrier organic anion transporter family member 1B3
4502,SLCO2A1,Solute carrier organic anion transporter family member 2A1
4503,SLFN14,Schlafen family member 14
4504,SLITRK1,SLIT and NTRK like family member 1
4505,SLITRK6,SLIT and NTRK like family member 6
4506,SLURP1,Secreted LY6/PLAUR domain containing 1
4507,SLX4,SLX4 structure-specific endonuclease subunit
4508,SLX4IP,SLX4 interacting protein
4509,SMAD1,SMAD family member 1
4510,SMAD2,SMAD family member 2
4511,SMAD3,SMAD family member 3
4512,SMAD4,SMAD family member 4
4513,SMAD6,SMAD family member 6
4514,SMAD7,SMAD family member 7
4515,SMAD9,SMAD family member 9
4516,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
4517,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
4518,SMARCAD1,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1"
4519,SMARCAL1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"
4520,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
4521,SMARCC2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2"
4522,SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"
4523,SMARCD2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"
4524,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1"
4525,SMC1A,Structural maintenance of chromosomes 1A
4526,SMC3,Structural maintenance of chromosomes 3
